Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
27/2/2014,27,February,2014,58,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",30,38,50,30,1140,1170,Less than 100
3/10/2015,3,October,2015,37,Adults (35-64),F,Germany,Saarland,Clothing,Caps,AWC Logo Cap,2,7,9,1,14,15,Less than 100
29/3/2016,29,March,2016,24,Youth (<25),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,42,44,86,Less than 100
16/11/2015,16,November,2015,33,Youth (<25),F,United States,Washington,Bikes,Touring Bikes,"Touring-2000 Blue, 50",1,755,1215,193,755,948,More or equal to 100
29/8/2012,29,August,2012,34,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578,2671,4342,7013,More or equal to 100
21/8/2013,21,August,2013,33,Youth (<25),M,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,26,8,21,218,208,426,More or equal to 100
6/8/2015,6,August,2015,32,Young Adults (25-34),F,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,344,273,617,More or equal to 100
29/8/2013,29,August,2013,44,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,185,344,529,More or equal to 100
28/1/2016,28,January,2016,33,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,14,5,19,Less than 100
20/5/2014,20,May,2014,21,Youth (<25),M,Germany,Bayern,Clothing,Socks,"Racing Socks, M",24,3,9,142,72,214,More or equal to 100
7/8/2013,7,August,2013,39,Adults (35-64),M,Australia,South Australia,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,48,33,81,Less than 100
11/10/2015,11,October,2015,43,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,7,10,17,Less than 100
7/5/2014,7,May,2014,50,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",10,42,54,1,420,421,Less than 100
27/5/2016,27,May,2016,31,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-250 Black, 58",3,1555,2443,1711,4665,6376,More or equal to 100
30/11/2015,30,November,2015,31,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,942,2171,3113,More or equal to 100
20/10/2013,20,October,2013,37,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,ML Road Tire,4,9,25,60,36,96,Less than 100
4/12/2013,4,December,2013,33,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,Road Tire Tube,8,1,4,18,8,26,Less than 100
25/6/2014,25,June,2014,55,Adults (35-64),M,United States,California,Clothing,Vests,"Classic Vest, S",2,24,64,77,48,125,Less than 100
19/1/2016,19,January,2016,33,Young Adults (25-34),F,France,Essonne,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,20,22,42,Less than 100
8/2/2016,8,February,2016,21,Youth (<25),M,Australia,New South Wales,Accessories,Bottles and Cages,Mountain Bottle Cage,16,4,10,75,64,139,Less than 100
