Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
2014-02-27,27,Feb,2014,58.0,Adults (35-64),F,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",30,38,50,30,1140,1170,Less than 100
2015-10-03,3,October,2015,37.0,Adults (35-64),F,Germany,Saarland,Clothing,Caps,AWC Logo Cap,2,7,9,1,14,15,Less than 100
2016-03-29,29,Mar,2016,24.0,Youth (<25),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,42,44,86,Less than 100
2015-11-16,16,Nov,2015,1.0,Youth (<25),F,United States,Washington,Bikes,Touring Bikes,"Touring-2000 Blue, 50",1,755,1215,193,755,948,More or equal to 100
2012-08-29,29,August,2012,34.0,Young Adults (25-34),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",2,2171,3578,2671,4342,7013,More or equal to 100
2013-08-21,21,August,2013,1.0,Youth (<25),M,United States,Washington,Accessories,Tires and Tubes,LL Road Tire,26,8,21,218,208,426,More or equal to 100
2015-08-06,6,August,2015,32.0,Young Adults (25-34),F,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Black",21,13,35,344,273,617,More or equal to 100
2013-08-29,29,August,2013,44.0,Adults (35-64),M,USA,California,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,185,344,529,More or equal to 100
2016-01-28,28,January,2016,1.0,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,14,5,19,Less than 100
2014-05-20,20,May,2014,21.0,Youth (<25),M,Germany,Bayern,Clothing,Socks,"Racing Socks, M",24,3,9,142,72,214,More or equal to 100
2013-08-07,7,August,2013,39.0,Adults (35-64),M,Australia,South Australia,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,48,33,81,Less than 100
2015-10-11,11,October,2015,43.0,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,7,10,17,Less than 100
2014-05-07,7,May,2014,50.0,Adults (35-64),M,USA,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",10,42,54,1,420,421,Less than 100
2016-05-27,27,May,2016,31.0,Young Adults (25-34),F,France,Nord,Bikes,Road Bikes,"Road-250 Black, 58",3,1555,2443,1711,4665,6376,More or equal to 100
2015-11-30,30,Nov,2015,31.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,942,2171,3113,More or equal to 100
2013-10-20,20,October,2013,37.0,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,ML Road Tire,4,9,25,60,36,96,Less than 100
2013-12-04,4,Dec,2013,33.0,Young Adults (25-34),M,France,Seine (Paris),Accessories,Tires and Tubes,Road Tire Tube,8,1,4,18,8,26,Less than 100
2014-06-25,25,June,2014,55.0,Adults (35-64),M,USA,California,Clothing,Vests,"Classic Vest, S",2,24,64,77,48,125,Less than 100
2016-01-19,19,January,2016,33.0,Young Adults (25-34),F,France,Essonne,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,20,22,42,Less than 100
2016-02-08,8,Feb,2016,21.0,Youth (<25),M,Australia,New South Wales,Accessories,Bottles and Cages,Mountain Bottle Cage,16,4,10,75,64,139,Less than 100
2013-10-17,17,October,2013,50.0,Adults (35-64),F,UK,England,Accessories,Helmets,"Sport-100 Helmet, Black",26,13,35,536,338,874,More or equal to 100
2013-12-26,26,Dec,2013,62.0,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,116,60,176,More or equal to 100
2013-08-02,2,August,2013,51.0,Adults (35-64),M,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,745,1252,1997,More or equal to 100
2016-05-29,29,May,2016,32.0,Young Adults (25-34),M,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,14,7,9,12,98,110,Less than 100
2013-12-11,11,Dec,2013,17.0,Youth (<25),F,UK,England,Accessories,Tires and Tubes,Touring Tire Tube,30,2,5,84,60,144,Less than 100
2013-10-22,22,October,2013,39.0,Adults (35-64),M,United States,Washington,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",23,38,50,23,874,897,Less than 100
2012-12-14,14,Dec,2012,37.0,Adults (35-64),M,Germany,Saarland,Bikes,Road Bikes,"Road-550-W Yellow, 38",2,713,1120,411,1426,1837,More or equal to 100
2016-06-20,20,June,2016,35.0,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,19,25,44,Less than 100
2013-11-03,3,Nov,2013,39.0,Adults (35-64),F,United States,California,Bikes,Road Bikes,-----,1,2171,3578,1335,2171,3506,More or equal to 100
2013-04-17,17,April,2013,46.0,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,584,1083,1667,More or equal to 100
2016-07-08,8,July,2016,33.0,Young Adults (25-34),M,Australia,Victoria,Accessories,Hydration Packs,Hydration Pack - 70 oz.,24,21,55,539,504,1043,More or equal to 100
2011-06-27,27,June,2011,25.0,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,-----,1,713,1120,228,713,941,More or equal to 100
2014-01-03,3,January,2014,27.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,-----,13,2,5,38,26,64,Less than 100
2016-02-03,3,Feb,2016,46.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",1,420,769,334,420,754,More or equal to 100
2015-09-12,12,September,2015,18.0,Youth (<25),M,UK,England,Bikes,Road Bikes,"Road-750 Black, 48",3,344,540,523,1032,1555,More or equal to 100
2013-12-28,28,Dec,2013,43.0,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,28,2,5,81,56,137,Less than 100
2016-04-09,9,April,2016,23.0,Youth (<25),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",2,13,35,43,26,69,Less than 100
2013-12-12,12,Dec,2013,30.0,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-650 Black, 58",1,487,783,280,487,767,More or equal to 100
2015-12-30,30,Dec,2015,24.0,Youth (<25),F,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,19,26,45,Less than 100
2014-04-29,29,April,2014,58.0,Adults (35-64),F,USA,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274,More or equal to 100
2013-11-24,24,Nov,2013,46.0,Adults (35-64),M,Australia,New South Wales,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",9,42,54,45,378,423,Less than 100
2014-03-01,1,Mar,2014,38.0,Adults (35-64),M,Germany,Hessen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,66,50,116,Less than 100
2016-06-17,17,June,2016,18.0,Youth (<25),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,14,20,34,Less than 100
2014-06-03,3,June,2014,47.0,Adults (35-64),F,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,35,32,67,Less than 100
2015-10-10,10,October,2015,26.0,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,3,2,5,Less than 100
2015-01-12,12,January,2015,37.0,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",3,1083,1701,1650,3249,4899,More or equal to 100
2015-08-01,1,August,2015,48.0,Adults (35-64),F,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,30,1,2,20,30,50,Less than 100
2011-09-08,8,September,2011,26.0,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,630,1252,1882,More or equal to 100
2016-04-18,18,April,2016,30.0,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,12,2,5,35,24,59,Less than 100
2012-05-06,6,May,2012,49.0,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 52",2,344,540,252,688,940,More or equal to 100
2014-05-14,14,May,2014,1.0,Youth (<25),M,United States,Oregon,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,51,44,95,Less than 100
2011-04-21,21,April,2011,47.0,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,184,308,492,More or equal to 100
2016-02-09,9,Feb,2016,37.0,Adults (35-64),M,United States,Oregon,Accessories,Cleaners,Bike Wash - Dissolver,4,3,8,16,12,28,Less than 100
2014-06-20,20,June,2014,30.0,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,29,2,5,68,58,126,Less than 100
2015-10-14,14,October,2015,18.0,Youth (<25),F,France,Yveline,Accessories,Tires and Tubes,Road Tire Tube,20,1,4,41,20,61,Less than 100
2016-04-23,23,April,2016,44.0,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,16,7,9,0,112,112,Less than 100
2015-08-08,8,August,2015,34.0,Young Adults (25-34),M,France,Nord,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,4,6,10,Less than 100
2014-05-29,29,May,2014,34.0,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35,Less than 100
2016-06-03,3,June,2016,45.0,Adults (35-64),M,Australia,Victoria,Accessories,Cleaners,-----,1,3,8,3,3,6,Less than 100
2016-03-26,26,Mar,2016,1.0,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,7,1,2,7,7,14,Less than 100
2015-09-28,28,September,2015,18.0,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,544,1266,1810,More or equal to 100
2015-11-17,17,Nov,2015,22.0,Youth (<25),F,Germany,Saarland,Accessories,Tires and Tubes,Touring Tire,22,11,29,281,242,523,More or equal to 100
