Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
17/12/2013,17,December,2013,41,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,24,7,9,0,168,168
19/6/2016,19,June,2016,28,Young Adults (25-34),M,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",6,38,50,60,228,288
26/5/2014,26,May,2014,47,Adults (35-64),M,Canada,British Columbia,Accessories,Tires and Tubes,Road Tire Tube,16,1,4,47,16,63
4/3/2012,4,March,2012,27,Young Adults (25-34),M,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 52",2,1555,2443,1141,3110,4251
10/5/2016,10,May,2016,36,Adults (35-64),F,France,Moselle,Accessories,Tires and Tubes,Road Tire Tube,12,1,4,30,12,42
27/3/2014,27,March,2014,34,Young Adults (25-34),M,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,12,1,4,34,12,46
7/11/2011,7,November,2011,18,Youth (<25),F,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,835,2171,3006
7/6/2014,7,June,2014,43,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,70,48,118
24/7/2015,24,July,2015,40,Adults (35-64),M,Germany,Hessen,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,150,84,234
2/11/2013,2,November,2013,43,Adults (35-64),M,France,Val d'Oise,Accessories,Helmets,"Sport-100 Helmet, Red",28,13,35,410,364,774
8/8/2013,8,August,2013,30,Young Adults (25-34),F,France,Nord,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,71,60,131
13/9/2015,13,September,2015,30,Young Adults (25-34),F,United States,California,Clothing,Caps,AWC Logo Cap,23,7,9,42,161,203
30/6/2016,30,June,2016,32,Young Adults (25-34),M,Australia,Victoria,Accessories,Tires and Tubes,ML Mountain Tire,16,11,30,203,176,379
18/6/2014,18,June,2014,34,Young Adults (25-34),M,United States,Oregon,Bikes,Touring Bikes,"Touring-1000 Blue, 60",1,1482,2384,568,1482,2050
20/12/2013,20,December,2013,21,Youth (<25),M,Australia,South Australia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,8,21,55,193,168,361
31/12/2015,31,December,2015,31,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,23,13,35,490,299,789
